Item;Qty;Reference;Value ;Kolumna6;Kolumna7;Kolumna8;Kolumna9;Kolumna10;Kolumna11;Kolumna12;Kolumna13;Kolumna14;Kolumna15
1;5;C1, C2, C4, C8, C9;0.1uF;Capacitor_SMD:C_0402_1005Metric;~;;;;;;;;
2;1;C3;10uF;Capacitor_SMD:C_0805_2012Metric;~;;;;;;;;
3;10;C5, C12, C13, C14, C15, C16, C17, C18, C19, C20;10uF;Capacitor_SMD:C_1206_3216Metric;~;;;;;;;;
4;1;C6;1uF;Capacitor_SMD:C_0805_2012Metric;~;;;;;;;;
5;1;C7;4.7uF;Capacitor_SMD:C_0805_2012Metric;~;;;;;;;;
7;2;C10, C11;na;Capacitor_SMD:C_0402_1005Metric;~;;;;;;;;
8;1;C21;100pF/50V;Capacitor_SMD:C_0402_1005Metric;~;;;;;;;;
9;1;C22;100nF/50V;Capacitor_SMD:C_0402_1005Metric;~;;;;;;;;
10;2;D1, D2;7V;Diode_SMD:D_0402_1005Metric;~;;;;;;;;
11;2;D3, D4;LED;Diode_SMD:D_0402_1005Metric_Pad0.77x0.64mm_HandSolder;~;;;;;;;;
12;1;D5;28V;Diode_SMD:D_SMA;~;;;;;;;;
13;1;D6;1N4448WS;Diode_SMD:D_SOD-323;https://www.vishay.com/docs/81387/1n4448ws.pdf;;;;;;;;
14;1;F1;500mA;Fuse:Fuse_0805_2012Metric;~;;;;;;;;
15;1;FB1;110E;LED_SMD:LED_0805_2012Metric;~;;;;;;;;
16;4;IC1, IC2,IC3, IC6;LM393LVQDRQ1;BSPD_07:SOIC127P600X175-8N;https://www.ti.com/lit/gpn/lm393lv-q1;LM393LVQDRQ1;https://www.arrow.com/en/products/lm393lvqdrq1/texas-instruments?region=nac;Analog Comparators Automotive low-voltage commodity comparator 8-SOIC -40 to 125;1.75;Texas Instruments;LM393LVQDRQ1;595-LM393LVQDRQ1;https://www.mouser.co.uk/ProductDetail/Texas-Instruments/LM393LVQDRQ1?qs=IS%252B4QmGtzzqk8QFsvXuXMw%3D%3D
18;1;IC4;LDO40LPU50RY;BSPD_07:SON95P300X300X90-7N-D;https://componentsearchengine.com/Datasheets/1/LDO40LPU50RY.pdf;LDO40LPU50RY;https://www.arrow.com/en/products/ldo40lpu50ry/stmicroelectronics?region=nac;LDO Voltage Regulators 400 mA, 38 V low-dropout regulator;0.9;STMicroelectronics;LDO40LPU50RY;511-LDO40LPU50RY;https://www.mouser.co.uk/ProductDetail/STMicroelectronics/LDO40LPU50RY?qs=qSfuJ%252Bfl%2Fd76TFu8P3XttQ%3D%3D
19;1;IC5;74LVC1G02GW-Q100H;BSPD_07:SOT65P212X110-5N;https://assets.nexperia.com/documents/data-sheet/74LVC1G02_Q100.pdf;74LVC1G02GW-Q100H;https://www.arrow.com/en/products/74lvc1g02gw-q100h/nexperia;Single 2-input NOR gate@en-us;1.1;Nexperia;74LVC1G02GW-Q100H;771-74LVC1G02GWQ100H;https://www.mouser.co.uk/ProductDetail/Nexperia/74LVC1G02GW-Q100H?qs=5XOdhvmYM0OXtjyYuTuWfw%3D%3D
20;1;J1;DTM13-12PA;BSPD_07:DTM1312PA;https://datasheet.datasheetarchive.com/originals/distributors/DKDS-22/431684.pdf;;;Automotive Connectors 12P SZ 20 DTM RECP;35.18;TE Connectivity;DTM13-12PA;571-DTM13-12PA;https://www.mouser.co.uk/ProductDetail/TE-Connectivity-DEUTSCH/DTM13-12PA?qs=cgQJD%2FpJz0wRVbmAAJ6nZw%3D%3D
21;1;JP1;Jumper_2_Open;Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical;~;;;;;;;;
22;1;L1;120uH / 0.5A;Inductor_SMD:L_1812_4532Metric;~;;;;;;;;
23;1;Q1;RSQ025P03HZGTR;BSPD_07:SOT95P280X100-6N;https://fscdn.rohm.com/en/products/databook/datasheet/discrete/transistor/mosfet/rsq025p03hzgtr-e.pdf;;;Pch -30V -2.5A Small Signal MOSFET;1;ROHM Semiconductor;RSQ025P03HZGTR;755-RSQ025P03HZGTR;https://www.mouser.co.uk/ProductDetail/ROHM-Semiconductor/RSQ025P03HZGTR?qs=0lSvoLzn4L%2F9YbrdTwpoKg%3D%3D
24;2;Q2, Q3;RJU002N06FRAT106;BSPD_07:SOT65P210X100-3N;https://datasheet.datasheetarchive.com/originals/distributors/DKDS-10/185695.pdf;;;ROHM - RJU002N06FRAT106 - MOSFET, AEC-Q101, N-CH, 60V, 0.2A, UMT3;1;ROHM Semiconductor;RJU002N06FRAT106;755-RJU002N06FRAT106;https://www.mouser.com/Search/Refine.aspx?Keyword=755-RJU002N06FRAT106
25;1;Q4;AO3401A;Package_TO_SOT_SMD:SOT-23;http://www.aosmd.com/pdfs/datasheet/AO3401A.pdf;;;;;;;;
26;3;R1, R2, R11;100k;Resistor_SMD:R_0402_1005Metric;~;;;;;;;;
27;2;R3, R5;5k-10k;Resistor_SMD:R_0402_1005Metric;~;;;;;;;;
28;9;R4, R6, R9, R10, R17, R18, R19, R26, R30;10k;Resistor_SMD:R_0402_1005Metric;~;;;;;;;;
29;2;R7, R8;200k;Resistor_SMD:R_0402_1005Metric;~;;;;;;;;
30;3;R12, R13, R25;39k;Resistor_SMD:R_0402_1005Metric;~;;;;;;;;
31;1;R14;5R2;Resistor_SMD:R_0402_1005Metric;~;;;;;;;;
32;2;R15, R20;560k;Resistor_SMD:R_0402_1005Metric;~;;;;;;;;
33;2;R16, R28;100;Resistor_SMD:R_0402_1005Metric;~;;;;;;;;
34;1;R21;3R9;Resistor_SMD:R_0402_1005Metric;~;;;;;;;;
35;1;R22;1k;Resistor_SMD:R_0402_1005Metric;~;;;;;;;;
36;1;R23;152;Resistor_SMD:R_0402_1005Metric;~;;;;;;;;
37;1;R24;145;Resistor_SMD:R_0402_1005Metric;~;;;;;;;;
38;1;R27;200R;Resistor_SMD:R_0402_1005Metric;~;;;;;;;;
39;1;R29;200;Resistor_SMD:R_0402_1005Metric;~;;;;;;;;
40;2;R31, R32;na;Resistor_SMD:R_0402_1005Metric;~;;;;;;;;
41;2;RV1, RV2;20k;BSPD_07:POT-3296X1223LF;~;;;;;;;;
42;1;TP1;TPS;TestPoint:TestPoint_Pad_D1.0mm;~;;;;;;;;
43;1;TP2;BRK;TestPoint:TestPoint_Pad_D1.0mm;~;;;;;;;;
44;1;TP3;ERR_FINAL;TestPoint:TestPoint_Pad_D1.0mm;~;;;;;;;;
45;1;TP4;CUR;TestPoint:TestPoint_Pad_D1.0mm;~;;;;;;;;
46;1;U2;TLP175A / COMUS AB38-Q;Package_SO:MFSOP6-4_4.4x3.6mm_P1.27mm;https://toshiba.semicon-storage.com/info/docget.jsp?did=13665&prodName=TLP175A;;;;;;;;
