Comment,Designator,Footprint,LCSC
1k,R22,R_0402_1005Metric,C102748
D_TVS,D5,D_SMA,C132944
100pF / 50V,C21,C_0402_1005Metric,C1546
39k,"R12,R13,R25",R_0402_1005Metric,C226712
10uF,C3,C_0805_2012Metric,C237493
1N4448WS,D6,D_SOD-323,C260859
7V,"D1,D2",D_0402_1005Metric,C2763588
RJU002N06FRAT106,"Q2,Q3",SOT65P210X100-3N,C3014172
560k,R20,R_0402_1005Metric,C3017521
AO3401A,Q4,SOT-23,C306862
560k,R15,R_0402_1005Metric,C316885
na,"R31,R32",R_0402_1005Metric,C325377
74LVC1G02GW-Q100H,IC5,SOT65P212X110-5N,C353856
120uH / 0.5A,L1,L_1812_4532Metric,C394134
5k-10k,"R3,R5",R_0402_1005Metric,C413092
4.7uF,C7,C_0805_2012Metric,C437557
100k,R11,R_0402_1005Metric,C469655
100R,"R16,R28",R_0402_1005Metric,C472873
200k,"R7,R8",R_0402_1005Metric,C4749160
0.1uF,"C1,C2,C4,C8,C9",C_0402_1005Metric,C56392
100k,"R1,R10,R17,R18,R19,R2,R26,R30,R4,R6,R9",R_0402_1005Metric,C60490
1uF,C6,C_0805_2012Metric,C726584
100nF/50V,C22,C_0402_1005Metric,C77020
10uF,C5,C_1206_3216Metric,C778724
200R,"R27,R29",R_0402_1005Metric,C881170
110E,FB1,LED_0805_2012Metric,C882614
LED,D4,D_0402_1005Metric_Pad0.77x0.64mm_HandSolder,
LED,D3,D_0402_1005Metric_Pad0.77x0.64mm_HandSolder,
RSQ025P03HZGTR,Q1,SOT95P280X100-6N,
