Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0402_1005Metric,161.5508,-105.3084,-90.0,top
C2,0.1uF,C_0402_1005Metric,161.544,-111.7326,-90.0,top
C3,10uF,C_0805_2012Metric,162.941,-128.27,0.0,top
C4,0.1uF,C_0402_1005Metric,154.178,-130.937,180.0,top
C5,10uF,C_1206_3216Metric,151.15,-130.94,90.0,top
C6,1uF,C_0805_2012Metric,177.3072,-108.3056,0.0,top
C7,4.7uF,C_0805_2012Metric,169.1132,-108.4072,180.0,top
C8,0.1u,C_0402_1005Metric,154.1272,-134.2416,-90.0,top
C9,0.1uF,C_0402_1005Metric,161.544,-118.491,-90.0,top
C21,100pF / 50V,C_0402_1005Metric,178.6382,-100.9396,180.0,bottom
C22,100nF/50V,C_0402_1005Metric,175.9458,-100.9396,0.0,bottom
D1,7V,D_0402_1005Metric,150.9816,-108.583,-90.0,top
D2,7V,D_0402_1005Metric,150.9776,-115.1128,-90.0,top
D3,LED,D_0402_1005Metric_Pad0.77x0.64mm_HandSolder,176.911,-129.032,90.0,top
D4,LED,D_0402_1005Metric_Pad0.77x0.64mm_HandSolder,174.625,-129.032,90.0,top
D5,D_TVS,D_SMA,171.704,-102.235,0.0,top
D6,1N4448WS,D_SOD-323,173.07,-104.99,180.0,top
FB1,110E,LED_0805_2012Metric,177.419,-99.2632,180.0,bottom
IC5,74LVC1G02GW-Q100H,SOT65P212X110-5N,165.1548,-116.9924,-90.0,top
L1,120uH / 0.5A,L_1812_4532Metric,177.4444,-103.632,90.0,top
Q1,RSQ025P03HZGTR,SOT95P280X100-6N,162.814,-132.334,-90.0,top
Q2,RJU002N06FRAT106,SOT65P210X100-3N,156.2608,-133.5168,90.0,top
Q3,RJU002N06FRAT106,SOT65P210X100-3N,166.624,-132.715,-90.0,top
Q4,AO3401A,SOT-23,177.546,-96.2914,0.0,bottom
R1,100k,R_0402_1005Metric,151.0284,-106.1212,-90.0,top
R2,100k,R_0402_1005Metric,150.9776,-112.5728,-90.0,top
R3,5k-10k,R_0402_1005Metric,152.2008,-108.6084,90.0,top
R4,10k,R_0402_1005Metric,161.5508,-108.6104,90.0,top
R5,5k-10k,R_0402_1005Metric,152.2036,-115.0747,90.0,top
R6,10k,R_0402_1005Metric,161.5948,-115.1108,90.0,top
R7,200k,R_0402_1005Metric,162.8688,-108.6104,90.0,top
R8,200k,R_0402_1005Metric,162.8648,-115.1108,90.0,top
R9,10k,R_0402_1005Metric,162.8208,-105.3084,90.0,top
R10,10k,R_0402_1005Metric,162.8902,-111.7072,90.0,top
R11,100k,R_0402_1005Metric,161.5988,-125.982,90.0,top
R12,39k,R_0402_1005Metric,164.211,-125.984,90.0,top
R13,39k,R_0402_1005Metric,162.8688,-125.982,90.0,top
R15,560k,R_0402_1005Metric,152.3492,-127.506,90.0,top
R16,100R,R_0402_1005Metric,159.766,-131.318,-90.0,top
R17,10k,R_0402_1005Metric,158.369,-131.3112,-90.0,top
R18,10k,R_0402_1005Metric,152.0952,-120.6139,-90.0,top
R19,10k,R_0402_1005Metric,165.989,-129.286,90.0,top
R20,560k,R_0402_1005Metric,152.8064,-134.2416,90.0,top
R22,1k,R_0402_1005Metric,168.529,-129.286,90.0,top
R25,39k,R_0402_1005Metric,151.0792,-124.924,-90.0,top
R26,10k,R_0402_1005Metric,152.3492,-124.924,90.0,top
R27,200R,R_0402_1005Metric,150.9776,-120.5992,90.0,top
R28,100,R_0402_1005Metric,167.259,-129.286,-90.0,top
R29,200,R_0402_1005Metric,162.8648,-122.174,90.0,top
R30,10k,R_0402_1005Metric,161.544,-122.174,-90.0,top
R31,na,R_0402_1005Metric,153.2128,-103.6828,-90.0,top
R32,na,R_0402_1005Metric,154.7876,-102.9716,-90.0,top
